Big Muff, rdfs:label ,Big Muff
Big Muff, rdf:type ,Musical instrument Guitar pedal
Big Muff, dcterms:subject ,Effect pedals Fuzz pedal Distortion pedal Guitar Electric guitar Bass guitar Musical Instruments
Big Muff, dcterms:spatial ,Long Island City NY
Big Muff, crm:P4_has_time-span, 1970-present
Big Muff, ddesc:hasMaterialOrTechnique ,1 effect pedal : metal and plastic
Big Muff, crm:P50_has_current_keeper ,The Urbana Free Library
Big Muff, crm:P43_has_dimension ,17 X 14 x 7 cm
Big Muff, bbccore:notablyAssociatedWith , David Gilmour Pink Floyd The White Stripes Jimi Hendrix Santana
Big Muff, dcterms:creator, Electro-Harmonix
Big Muff, dcterms:title, Electro-Harmonix Big Muff : [Pi]
